trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-111.91065445078871,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.990025}",20,16,6.53377927691003,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-165.06389690008115,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",25,0,-194.91770510243518,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",20,0,-134.13084675269755,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",20,0,-107.16396966557093,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",25,0,-84.15756910219878,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.960693043575437}",25,3,-82.40643055955606,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",25,0,-120.33495298800734,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-98.22696378213347,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-98.47344114124687,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-74.69984143564096,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-112.30832663184846,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",30,0,-126.81108720155629,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",25,0,-47.68069577316811,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",30,0,-247.71813322637246,"{0: 13, 1: 5, 2: 8, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",25,0,-83.42828243928717,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,11,-3.2022692646661604,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
