trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-193.23750584457633,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.990025}",25,0,-94.90996915733545,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-49.32267831808025,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",25,0,-68.79565690823537,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",20,0,-76.4772792415821,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",20,0,-152.1833043095721,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",20,0,-52.70356988909647,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.960693043575437}",20,0,-55.509112117379466,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",20,0,-198.37518623882715,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-140.68315944287136,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",25,0,-194.08930728797344,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-227.69955366907985,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-143.46015037675534,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",20,0,-85.64380222835469,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",25,0,-25.924731611663912,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",30,0,-131.84150026337392,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",20,0,-87.61894910552506,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,0,-22.749731109462907,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",30,0,-293.59208986396885,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 6}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",25,0,-122.91044803803422,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,2,-122.99812215046815,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,-89.67385958739571,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-128.1445742085962,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-114.29677285463684,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,8,-116.13169113673578,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",20,0,-83.62058379338583,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-150.2277213661768,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",30,0,-82.58306683803899,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,0,-99.37203377859201,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,2,-54.8398750814815,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
